screen_name,id
SenTomCotton,968650362
SenatorSinema,1080844782
RepLaMalfa,1069124515
RepHuffman,1071102246
RepBera,950783972
RepPaulCook,1074412920
RepSwalwell,942156122
RepBrownley,1243902714
RepCardenas,1222257180
RepRaulRuizMD,1089859058
RepMarkTakano,1037321378
RepLowenthal,1055730738
RepJuanVargas,1260172386
RepScottPeters,1135486501
RepTedYoho,1071900114
RepLoisFrankel,1077121945
RepDougCollins,1060487274
TulsiPress,1064206014
SenDuckworth,1058520120
RodneyDavis,993153006
RepCheri,1092979962
RepWalorski,1065995022
SusanWBrooks,1074101017
RepAndyBarr,1089334250
SenWarren,970207298
RepJoeKennedy,1055907624
SenAngusKing,1068481578
RepDanKildee,1045110018
RepAnnWagner,1051446626
SteveDaines,11651202
RepRichHudson,935033864
RepHolding,1058460818
SenKevinCramer,1048784496
SenatorFischer,1071402577
RepAnnieKuster,1058717720
RepGraceMeng,1051127714
RepJeffries,467823431
RepSeanMaloney,1072467470
RepBradWenstrup,518644221
RepBeatty,1531521632
RepDaveJoyce,976969338
RepMullin,1060370282
RepScottPerry,18773159
RepCartwright,776664410
RepTomRice,1058345042
SenTedCruz,1074480192
TXRandy14,1058051748
JoaquinCastrotx,231510077
RepRWilliams,1077446982
RepVeasey,1074129612
RepFilemonVela,1083448909
RepChrisStewart,1072008757
RepDerekKilmer,1058917562
RepDennyHeck,1068499286
repmarkpocan,1206227149
RepRobinKelly,1339931490
RepJasonSmith,1623308912
SenBooker,2167097881
RepKClark,2293131060
RepByrne,2253968388
DonaldNorcross,3122099613
RepAdams,2916086925
USRepGaryPalmer,2861616083
RepFrenchHill,2953974395
RepWesterman,2852998461
RepRubenGallego,2966570782
RepDeSaulnier,2968007206
RepPeteAguilar,3018670151
RepTedLieu,3044993235
NormaJTorres,236279233
RepKenBuck,2862577383
RepBuddyCarter,2973870195
CongressmanHice,2975091705
RepLoudermilk,2914163523
RepRickAllen,2964287128
RepBost,2964877294
RepAbraham,2962891515
RepGarretGraves,2951574214
teammoulton,3091316093
RepMoolenaar,2696643955
RepDebDingell,2970279814
RepLawrence,2863006655
RepTomEmmer,2914515430
RepDavidRouzer,834069080
RepBonnie,2968451607
RepLeeZeldin,2750127259
RepKathleenRice,2970462034
RepStefanik,2962813893
RepJohnKatko,2966765501
CongBoyle,4304448314
HurdOnTheHill,2963445730
RepBrianBabin,2929491549
RepDonBeyer,2962868158
StaceyPlaskett,2724095695
RepNewhouse,2930635215
RepGrothman,2976606250
RepAlexMooney,2964526557
RepAmata,3026622545
SenDanSullivan,2891210047
sendavidperdue,2863210809
SenJoniErnst,2856787757
SenThomTillis,2964174789
SenatorRounds,2955485182
RepMarkWalker,2966205003
SenSasse,2962923040
RepTrentKelly,3317799825
RepLaHood,3686482216
WarrenDavidson,742735530287304704
RepDwightEvans,90639372
SenKamalaHarris,803694179079458816
SenJohnKennedy,816683274076614656
SenatorHassan,946549322
SenCortezMasto,811313565760163844
RepSchneider,1071840474
RepOHalleran,808416682972770304
RepAndyBiggsAZ,816652616625168388
RepRoKhanna,816298918468259841
RepJimmyPanetta,796736612554117120
RepCarbajal,816157667882373120
RepBarragan,816833925456789505
RepLouCorrea,815985039485837312
RepLBR,817050219007328258
RepMattGaetz,818948638890217473
DrNealDunnFL2,815952318487298048
RepRutherfordFL,828977216595849216
RepAlLawsonJr,818472418620608512
RepStephMurphy,796183515998068736
RepDarrenSoto,818713465653051392
RepValDemings,798973032362606600
RepCharlieCrist,816030424778543104
RepBrianMast,814103950404239360
RepRooney,816111677917851649
RepDrewFerguson,806583915012046854
CongressmanRaja,814179031956488192
RepJimBanks,816131319033950208
RepTrey,811986281177772032
RepMarshall,752364246218862592
RepClayHiggins,843636970538618880
